time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
39137.0396933,24913461.0672,-5363060.06327,832.045816716,3866.36480141,25484170.6867,3954.88015225,0.613760671617,-7820643.20695,100786840642
39361.9652088,25085431.558,-4490148.6699,696.620769298,3893.05281018,25484118.8101,3954.88820058,0.613763170418,-7820643.21666,100786840642
39586.8907243,25226836.6385,-3611766.24304,560.34616801,3914.99745621,25484076.2473,3954.89480393,0.613765220599,-7820643.22463,100786840642
39811.8162398,25337503.8593,-2728983.02803,423.388199393,3932.17192919,25484043.0503,3954.89995425,0.613766819654,-7820643.23084,100786840642
40036.7417552,25417298.2565,-1842874.64679,285.913887866,3944.5552464,25484019.2596,3954.90364524,0.613767965624,-7820643.23529,100786840642
40261.6672707,25466122.5166,-954520.783764,148.090890951,3952.13227861,25484004.9042,3954.90587241,0.613768657108,-7820643.23798,100786840642
40486.5927862,25483917.0964,-65003.8667768,10.0872936985,3954.89376878,25484000.0016,3954.90663301,0.61376889326,-7820643.23889,100786840642
40711.5183017,25470660.296,824592.255451,-127.928597421,3952.83634351,25484004.5578,3954.90592614,0.613768673791,-7820643.23804,100786840642
40936.4438172,25426368.285,1713183.63756,-265.788460903,3945.96251714,25484018.5673,3954.90375264,0.613767998968,-7820643.23542,100786840642
41161.3693326,25351095.0829,2599687.56191,-403.324166612,3934.28068872,25484042.013,3954.90011518,0.613766869619,-7820643.23103,100786840642
41386.2948481,25244932.4928,3483023.86146,-540.367981948,3917.80513158,25484074.8662,3954.8950182,0.613765287124,-7820643.22489,100786840642
41611.2203636,25108009.9891,4362116.23944,-676.752777509,3896.5559757,25484117.0869,3954.88846792,0.613763253421,-7820643.21698,100786840642
41836.1458791,24940494.5582,5235893.58431,-812.312232006,3870.55918289,25484168.6235,3954.88047234,0.613760770997,-7820643.20734,100786840642
42061.0713946,24742590.4941,6103291.27825,-946.881036156,3839.84651466,25484229.4132,3954.87104124,0.61375784289,-7820643.19597,100786840642
42285.99691,24514539.1479,6963252.49765,-1080.29509532,3804.45549308,25484299.3817,3954.86018612,0.613754472684,-7820643.18287,100786840642
42510.9224255,24256618.6317,7814729.50404,-1212.39173059,3764.42935435,25484378.4438,3954.84792025,0.6137506645,-7820643.16808,100786840642
42735.847941,23969143.4779,8656684.92368,-1343.00987817,3719.81699552,25484466.5028,3954.8342586,0.613746422998,-7820643.1516,100786840642
42960.7734565,23652464.2534,9488093.01445,-1471.99028664,3670.67291406,25484563.4514,3954.81921787,0.613741753367,-7820643.13346,100786840642
43185.6989719,23306967.1299,10307940.9184,-1599.17571205,3617.05714064,25484669.1713,3954.80281641,0.613736661319,-7820643.11368,100786840642
43410.6244874,22933073.4107,11115229.8982,-1724.41111042,3559.03516502,25484783.5335,3954.78507426,0.613731153083,-7820643.09229,100786840642
43635.5500029,22531239.0141,11908976.5566,-1847.54382754,3496.67785527,25484906.3984,3954.76601308,0.613725235396,-7820643.0693,100786840642
