time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
30140.0190742,19031973.5037,13140212.0089,-2821.45538188,2288.51467315,23127498.5046,3632.89277039,0.745216983185,-10636049.7237,80629472513.6
30364.9445896,18381843.5702,13644246.9954,-2959.10938801,2189.9138127,22892305.4564,3681.31102697,0.760608198885,-10636049.7829,80629472513.6
30589.8701051,17700815.0948,14125346.9952,-3096.11805781,2084.40856601,22646065.5027,3732.38611319,0.77723893588,-10636050.8042,80629472513.6
30814.7956206,16989051.6699,14581920.3377,-3232.30199174,1971.64050198,22388842.6985,3786.17781342,0.795200742188,-10636053.1131,80629472513.6
31039.7211361,16246760.7114,15012291.5077,-3367.44837558,1851.22169252,22120717.2109,3842.75035841,0.814594848348,-10636057.1233,80629472513.6
31264.6466516,15474201.5464,15414694.3246,-3501.30546302,1722.7330912,21841788.2652,3902.1723756,0.835533142395,-10636063.3603,80629472513.6
31489.572167,14671694.8392,15787264.7648,-3633.5761189,1585.7230222,21552177.5746,3964.51673158,0.858139224464,-10636072.4919,80629472513.6
31714.4976825,13839633.5833,16128033.461,-3763.91026309,1439.70587996,21252033.3389,4029.86023199,0.882549533571,-10636085.366,80629472513.6
31939.423198,12978495.9269,16434917.9392,-3891.89603106,1284.16117776,20941534.9054,4098.28313408,0.908914531268,-10636103.059,80629472513.6
32164.3487135,12088860.1413,16705714.6907,-4017.04944283,1118.53313422,20620898.2065,4169.86841501,0.937399915522,-10636126.9375,80629472513.6
32389.274229,11171422.0936,16938091.2228,-4138.80234714,942.231053161,20290382.1025,4244.70072281,0.968187821704,-10636158.7363,80629472513.6
32614.1997444,10227015.6385,17129578.3014,-4256.48838695,754.630839841,19950295.7786,4322.86491724,1.00147794424,-10636200.6571,80629472513.6
32839.1252599,9256636.40449,17277562.6841,-4369.32671852,555.078110717,19601007.3677,4404.44408322,1.03748847969,-10636255.4932,80629472513.6
33064.0507754,8261469.50962,17379280.7617,-4476.40321683,342.893501236,19242953.9898,4489.51686853,1.07645674637,-10636326.7861,80629472513.6
33288.9762909,7242921.80242,17431813.6791,-4576.64892665,117.380964824,18876653.4211,4578.15396079,1.11863927324,-10636419.0198,80629472513.6
33513.9018064,6202659.27163,17432084.7098,-4668.81558591,-122.159906127,18502717.6212,4670.41347397,1.16431106564,-10636537.8617,80629472513.6
33738.8273218,5142650.29775,17376859.9194,-4751.44818134,-376.416212645,18121868.3569,4766.33496359,1.21376364259,-10636690.4549,80629472513.6
33963.7528373,4065215.40871,17262753.4885,-4822.85472979,-646.037056703,17734955.1542,4865.93173229,1.26730129185,-10636885.7662,80629472513.6
34188.6783528,2973084.12539,17086239.4834,-4881.07385965,-931.599736844,17342975.7799,4969.18102841,1.3252347998,-10637134.9891,80629472513.6
34413.6038683,1869459.30077,16843672.3864,-4923.84136112,-1233.56430108,16947099.3842,5076.0116858,1.38787168076,-10637451.9891,80629472513.6
34638.5293837,758089.01282,16531319.3108,-4948.5577631,-1552.21349548,16548692.3081,5186.28871838,1.45550165815,-10637853.7594,80629472513.6
34863.4548992,-356654.510721,16145407.5452,-4952.26027676,-1887.57482419,16149346.341,5299.794389,1.52837586034,-10638360.8249,80629472513.6
35088.3804147,-1469690.37825,15682191.8302,-4931.60422046,-2239.32138805,15750908.8756,5416.20535673,1.60667793301,-10638997.4822,80629472513.6
35313.3059302,-2575141.75357,15138046.5101,-4882.86138149,-2606.64866651,15355513.902,5535.06572151,1.69048513324,-10639791.6938,80629472513.6
35538.2314457,-3666250.60474,14509588.2402,-4801.94566081,-2988.12585514,14965612.0622,5655.75620545,1.77971762042,-10640774.3597,80629472513.6
35763.1569611,-4735301.95969,13793835.0136,-4684.47958242,-3381.52332534,14583997.0183,5777.46042461,1.87407485267,-10641977.5845,80629472513.6
35988.0824766,-5773568.57439,12988406.4861,-4525.91827491,-3783.62289365,14213824.1558,5899.13031154,1.97295959003,-10643431.4628,80629472513.6
36213.0079921,-6771290.96169,12091768.3541,-4321.74924722,-4190.0254903,13858616.2086,6019.45430792,2.07539292115,-10645158.8937,80629472513.6
36437.9335076,-7717711.9288,11103519.1995,-4067.78486452,-4594.98171193,13522248.9265,6136.83392614,2.17992832235,-10647168.0982,80629472513.6
36662.8590231,-8601188.17671,10024711.0938,-3760.55735175,-4991.2838353,13208908.7575,6249.37644252,2.28457903123,-10649443.0127,80629472513.6
36887.7845385,-9409402.53045,8858185.02043,-3397.8106502,-5370.27052953,12923014.2705,6354.91327831,2.38678015934,-10651932.6723,80629472513.6
37112.710054,-10129696.8007,7608889.35953,-2979.05780851,-5722.00258244,12669094.4649,6451.05409836,2.48341281602,-10654542.0714,80629472513.6
37337.6355695,-10749534.7569,6284136.25957,-2506.13831862,-6035.66194271,12451621.0197,6535.28456601,2.57091831979,-10657128.4113,80629472513.6
